scope,condition,prompt,n,coverage,accuracy,accuracy_ci_low,accuracy_ci_high,precision,recall,specificity,f1,balanced_accuracy,tp,tn,fp,fn
available,rag,basic,735,1.000000,0.582313,0.546321,0.617449,0.854592,0.572650,0.620000,0.685773,0.596325,335,93,57,250
pairwise_matched,rag,basic,735,1.000000,0.582313,0.546321,0.617449,0.854592,0.572650,0.620000,0.685773,0.596325,335,93,57,250
available,non_rag,basic,735,1.000000,0.613605,0.577900,0.648130,0.879093,0.596581,0.680000,0.710794,0.638291,349,102,48,236
pairwise_matched,non_rag,basic,735,1.000000,0.613605,0.577900,0.648130,0.879093,0.596581,0.680000,0.710794,0.638291,349,102,48,236
available,rag,oncology_expert,735,1.000000,0.580952,0.544952,0.616111,0.836983,0.588034,0.553333,0.690763,0.570684,344,83,67,241
pairwise_matched,rag,oncology_expert,735,1.000000,0.580952,0.544952,0.616111,0.836983,0.588034,0.553333,0.690763,0.570684,344,83,67,241
available,non_rag,oncology_expert,735,1.000000,0.640816,0.605483,0.674686,0.881235,0.634188,0.666667,0.737575,0.650427,371,100,50,214
pairwise_matched,non_rag,oncology_expert,735,1.000000,0.640816,0.605483,0.674686,0.881235,0.634188,0.666667,0.737575,0.650427,371,100,50,214
available,rag,patient_education,735,1.000000,0.612245,0.576524,0.646799,0.853774,0.618803,0.586667,0.717542,0.602735,362,88,62,223
pairwise_matched,rag,patient_education,735,1.000000,0.612245,0.576524,0.646799,0.853774,0.618803,0.586667,0.717542,0.602735,362,88,62,223
available,non_rag,patient_education,735,1.000000,0.643537,0.608248,0.677335,0.881797,0.637607,0.666667,0.740079,0.652137,373,100,50,212
pairwise_matched,non_rag,patient_education,735,1.000000,0.643537,0.608248,0.677335,0.881797,0.637607,0.666667,0.740079,0.652137,373,100,50,212
