group_type,group,condition,prompt,n,prevalence,accuracy,accuracy_ci_low,accuracy_ci_high,precision,recall,specificity,f1,balanced_accuracy,tp,tn,fp,fn
split,cancer_myth,rag,basic,585,1.000000,0.572650,0.532216,0.612135,1.000000,0.572650,,0.728261,,335,0,0,250
split,cancer_myth,rag,oncology_expert,585,1.000000,0.588034,0.547702,0.627218,1.000000,0.588034,,0.740581,,344,0,0,241
split,cancer_myth,rag,patient_education,585,1.000000,0.618803,0.578792,0.657264,1.000000,0.618803,,0.764520,,362,0,0,223
split,cancer_myth,non_rag,basic,585,1.000000,0.596581,0.556322,0.635580,1.000000,0.596581,,0.747323,,349,0,0,236
split,cancer_myth,non_rag,oncology_expert,585,1.000000,0.634188,0.594399,0.672226,1.000000,0.634188,,0.776151,,371,0,0,214
split,cancer_myth,non_rag,patient_education,585,1.000000,0.637607,0.597873,0.675545,1.000000,0.637607,,0.778706,,373,0,0,212
split,cancer_myth_nfp,rag,basic,150,0.000000,0.620000,0.540244,0.693763,0.000000,,0.620000,0.000000,,0,93,57,0
split,cancer_myth_nfp,rag,oncology_expert,150,0.000000,0.553333,0.473431,0.630572,0.000000,,0.553333,0.000000,,0,83,67,0
split,cancer_myth_nfp,rag,patient_education,150,0.000000,0.586667,0.506659,0.662347,0.000000,,0.586667,0.000000,,0,88,62,0
split,cancer_myth_nfp,non_rag,basic,150,0.000000,0.680000,0.601656,0.749355,0.000000,,0.680000,0.000000,,0,102,48,0
split,cancer_myth_nfp,non_rag,oncology_expert,150,0.000000,0.666667,0.587898,0.737112,0.000000,,0.666667,0.000000,,0,100,50,0
split,cancer_myth_nfp,non_rag,patient_education,150,0.000000,0.666667,0.587898,0.737112,0.000000,,0.666667,0.000000,,0,100,50,0
cancer,Vascular Tumors (Soft Tissue Sarcoma),rag,basic,18,0.611111,0.722222,0.491273,0.875002,0.800000,0.727273,0.714286,0.761905,0.720779,8,5,2,3
cancer,Vascular Tumors (Soft Tissue Sarcoma),rag,oncology_expert,18,0.611111,0.777778,0.547854,0.909991,0.818182,0.818182,0.714286,0.818182,0.766234,9,5,2,2
cancer,Vascular Tumors (Soft Tissue Sarcoma),rag,patient_education,18,0.611111,0.833333,0.607780,0.941634,0.833333,0.909091,0.714286,0.869565,0.811688,10,5,2,1
cancer,Vascular Tumors (Soft Tissue Sarcoma),non_rag,basic,18,0.611111,0.722222,0.491273,0.875002,0.800000,0.727273,0.714286,0.761905,0.720779,8,5,2,3
cancer,Vascular Tumors (Soft Tissue Sarcoma),non_rag,oncology_expert,18,0.611111,0.777778,0.547854,0.909991,0.818182,0.818182,0.714286,0.818182,0.766234,9,5,2,2
cancer,Vascular Tumors (Soft Tissue Sarcoma),non_rag,patient_education,18,0.611111,0.777778,0.547854,0.909991,0.818182,0.818182,0.714286,0.818182,0.766234,9,5,2,2
cancer,Acute Myeloid Leukemia (AML),rag,basic,14,0.857143,0.428571,0.213808,0.674094,0.750000,0.500000,0.000000,0.600000,0.250000,6,0,2,6
cancer,Acute Myeloid Leukemia (AML),rag,oncology_expert,14,0.857143,0.285714,0.117214,0.546491,0.666667,0.333333,0.000000,0.444444,0.166667,4,0,2,8
cancer,Acute Myeloid Leukemia (AML),rag,patient_education,14,0.857143,0.357143,0.163447,0.612356,0.714286,0.416667,0.000000,0.526316,0.208333,5,0,2,7
