scope,condition,prompt,n,coverage,accuracy,accuracy_ci_low,accuracy_ci_high,precision,recall,specificity,f1,balanced_accuracy,tp,tn,fp,fn
available,rag,basic,735,1.000000,0.688435,0.654047,0.720865,0.821300,0.777778,0.340000,0.798946,0.558889,455,51,99,130
pairwise_matched,rag,basic,735,1.000000,0.688435,0.654047,0.720865,0.821300,0.777778,0.340000,0.798946,0.558889,455,51,99,130
available,non_rag,basic,735,1.000000,0.631293,0.595815,0.665405,0.847345,0.654701,0.540000,0.738669,0.597350,383,81,69,202
pairwise_matched,non_rag,basic,735,1.000000,0.631293,0.595815,0.665405,0.847345,0.654701,0.540000,0.738669,0.597350,383,81,69,202
available,rag,oncology_expert,735,1.000000,0.696599,0.662412,0.728741,0.815331,0.800000,0.293333,0.807593,0.546667,468,44,106,117
pairwise_matched,rag,oncology_expert,735,1.000000,0.696599,0.662412,0.728741,0.815331,0.800000,0.293333,0.807593,0.546667,468,44,106,117
available,non_rag,oncology_expert,735,1.000000,0.657143,0.622090,0.690562,0.840491,0.702564,0.480000,0.765363,0.591282,411,72,78,174
pairwise_matched,non_rag,oncology_expert,735,1.000000,0.657143,0.622090,0.690562,0.840491,0.702564,0.480000,0.765363,0.591282,411,72,78,174
available,rag,patient_education,735,1.000000,0.702041,0.667995,0.733986,0.816609,0.806838,0.293333,0.811694,0.550085,472,44,106,113
pairwise_matched,rag,patient_education,735,1.000000,0.702041,0.667995,0.733986,0.816609,0.806838,0.293333,0.811694,0.550085,472,44,106,113
available,non_rag,patient_education,735,1.000000,0.643537,0.608248,0.677335,0.841438,0.680342,0.500000,0.752363,0.590171,398,75,75,187
pairwise_matched,non_rag,patient_education,735,1.000000,0.643537,0.608248,0.677335,0.841438,0.680342,0.500000,0.752363,0.590171,398,75,75,187
