group_type,group,condition,prompt,n,prevalence,accuracy,accuracy_ci_low,accuracy_ci_high,precision,recall,specificity,f1,balanced_accuracy,tp,tn,fp,fn
split,cancer_myth,rag,basic,585,1.000000,0.777778,0.742338,0.809594,1.000000,0.777778,,0.875000,,455,0,0,130
split,cancer_myth,rag,oncology_expert,585,1.000000,0.800000,0.765676,0.830410,1.000000,0.800000,,0.888889,,468,0,0,117
split,cancer_myth,rag,patient_education,585,1.000000,0.806838,0.772887,0.836785,1.000000,0.806838,,0.893094,,472,0,0,113
split,cancer_myth,non_rag,basic,585,1.000000,0.654701,0.615275,0.692108,1.000000,0.654701,,0.791322,,383,0,0,202
split,cancer_myth,non_rag,oncology_expert,585,1.000000,0.702564,0.664297,0.738189,1.000000,0.702564,,0.825301,,411,0,0,174
split,cancer_myth,non_rag,patient_education,585,1.000000,0.680342,0.641480,0.716850,1.000000,0.680342,,0.809766,,398,0,0,187
split,cancer_myth_nfp,rag,basic,150,0.000000,0.340000,0.269033,0.418957,0.000000,,0.340000,0.000000,,0,51,99,0
split,cancer_myth_nfp,rag,oncology_expert,150,0.000000,0.293333,0.226364,0.370623,0.000000,,0.293333,0.000000,,0,44,106,0
split,cancer_myth_nfp,rag,patient_education,150,0.000000,0.293333,0.226364,0.370623,0.000000,,0.293333,0.000000,,0,44,106,0
split,cancer_myth_nfp,non_rag,basic,150,0.000000,0.540000,0.460238,0.617764,0.000000,,0.540000,0.000000,,0,81,69,0
split,cancer_myth_nfp,non_rag,oncology_expert,150,0.000000,0.480000,0.401551,0.559448,0.000000,,0.480000,0.000000,,0,72,78,0
split,cancer_myth_nfp,non_rag,patient_education,150,0.000000,0.500000,0.420990,0.579010,0.000000,,0.500000,0.000000,,0,75,75,0
cancer,Vascular Tumors (Soft Tissue Sarcoma),rag,basic,18,0.611111,0.722222,0.491273,0.875002,0.687500,1.000000,0.285714,0.814815,0.642857,11,2,5,0
cancer,Vascular Tumors (Soft Tissue Sarcoma),rag,oncology_expert,18,0.611111,0.666667,0.437495,0.837212,0.666667,0.909091,0.285714,0.769231,0.597403,10,2,5,1
cancer,Vascular Tumors (Soft Tissue Sarcoma),rag,patient_education,18,0.611111,0.722222,0.491273,0.875002,0.714286,0.909091,0.428571,0.800000,0.668831,10,3,4,1
cancer,Vascular Tumors (Soft Tissue Sarcoma),non_rag,basic,18,0.611111,0.555556,0.337164,0.754405,0.636364,0.636364,0.428571,0.636364,0.532468,7,3,4,4
cancer,Vascular Tumors (Soft Tissue Sarcoma),non_rag,oncology_expert,18,0.611111,0.555556,0.337164,0.754405,0.615385,0.727273,0.285714,0.666667,0.506494,8,2,5,3
cancer,Vascular Tumors (Soft Tissue Sarcoma),non_rag,patient_education,18,0.611111,0.611111,0.386190,0.796948,0.666667,0.727273,0.428571,0.695652,0.577922,8,3,4,3
cancer,Acute Myeloid Leukemia (AML),rag,basic,14,0.857143,0.428571,0.213808,0.674094,0.750000,0.500000,0.000000,0.600000,0.250000,6,0,2,6
cancer,Acute Myeloid Leukemia (AML),rag,oncology_expert,14,0.857143,0.500000,0.267992,0.732008,0.777778,0.583333,0.000000,0.666667,0.291667,7,0,2,5
cancer,Acute Myeloid Leukemia (AML),rag,patient_education,14,0.857143,0.500000,0.267992,0.732008,0.777778,0.583333,0.000000,0.666667,0.291667,7,0,2,5
cancer,Acute Myeloid Leukemia (AML),non_rag,basic,14,0.857143,0.285714,0.117214,0.546491,0.666667,0.333333,0.000000,0.444444,0.166667,4,0,2,8
cancer,Acute Myeloid Leukemia (AML),non_rag,oncology_expert,14,0.857143,0.428571,0.213808,0.674094,0.750000,0.500000,0.000000,0.600000,0.250000,6,0,2,6
cancer,Acute Myeloid Leukemia (AML),non_rag,patient_education,14,0.857143,0.428571,0.213808,0.674094,0.750000,0.500000,0.000000,0.600000,0.250000,6,0,2,6
cancer,Pregnancy and Hodgkin Lymphoma,rag,basic,14,0.571429,0.500000,0.267992,0.732008,0.538462,0.875000,0.000000,0.666667,0.437500,7,0,6,1
cancer,Pregnancy and Hodgkin Lymphoma,rag,oncology_expert,14,0.571429,0.500000,0.267992,0.732008,0.538462,0.875000,0.000000,0.666667,0.437500,7,0,6,1
cancer,Pregnancy and Hodgkin Lymphoma,rag,patient_education,14,0.571429,0.500000,0.267992,0.732008,0.538462,0.875000,0.000000,0.666667,0.437500,7,0,6,1
cancer,Pregnancy and Hodgkin Lymphoma,non_rag,basic,14,0.571429,0.571429,0.325906,0.786192,0.600000,0.750000,0.333333,0.666667,0.541667,6,2,4,2
cancer,Pregnancy and Hodgkin Lymphoma,non_rag,oncology_expert,14,0.571429,0.571429,0.325906,0.786192,0.583333,0.875000,0.166667,0.700000,0.520833,7,1,5,1
cancer,Pregnancy and Hodgkin Lymphoma,non_rag,patient_education,14,0.571429,0.642857,0.387644,0.836553,0.636364,0.875000,0.333333,0.736842,0.604167,7,2,4,1
cancer,Intraocular Melanoma,rag,basic,13,0.923077,0.846154,0.577654,0.956742,0.916667,0.916667,0.000000,0.916667,0.458333,11,0,1,1
cancer,Intraocular Melanoma,rag,oncology_expert,13,0.923077,0.923077,0.666860,0.986290,1.000000,0.916667,1.000000,0.956522,0.958333,11,1,0,1
cancer,Intraocular Melanoma,rag,patient_education,13,0.923077,0.923077,0.666860,0.986290,1.000000,0.916667,1.000000,0.956522,0.958333,11,1,0,1
cancer,Intraocular Melanoma,non_rag,basic,13,0.923077,0.846154,0.577654,0.956742,1.000000,0.833333,1.000000,0.909091,0.916667,10,1,0,2
cancer,Intraocular Melanoma,non_rag,oncology_expert,13,0.923077,0.923077,0.666860,0.986290,1.000000,0.916667,1.000000,0.956522,0.958333,11,1,0,1
cancer,Intraocular Melanoma,non_rag,patient_education,13,0.923077,0.846154,0.577654,0.956742,1.000000,0.833333,1.000000,0.909091,0.916667,10,1,0,2
cancer,Primary CNS Lymphoma,rag,basic,13,0.923077,0.769231,0.497436,0.918205,1.000000,0.750000,1.000000,0.857143,0.875000,9,1,0,3
cancer,Primary CNS Lymphoma,rag,oncology_expert,13,0.923077,0.923077,0.666860,0.986290,1.000000,0.916667,1.000000,0.956522,0.958333,11,1,0,1
cancer,Primary CNS Lymphoma,rag,patient_education,13,0.923077,1.000000,0.771905,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,12,1,0,0
cancer,Primary CNS Lymphoma,non_rag,basic,13,0.923077,0.615385,0.355229,0.822903,1.000000,0.583333,1.000000,0.736842,0.791667,7,1,0,5
cancer,Primary CNS Lymphoma,non_rag,oncology_expert,13,0.923077,0.769231,0.497436,0.918205,1.000000,0.750000,1.000000,0.857143,0.875000,9,1,0,3
cancer,Primary CNS Lymphoma,non_rag,patient_education,13,0.923077,0.846154,0.577654,0.956742,1.000000,0.833333,1.000000,0.909091,0.916667,10,1,0,2
cancer,Bronchial Tumors,rag,basic,12,1.000000,0.666667,0.390622,0.861880,1.000000,0.666667,,0.800000,,8,0,0,4
cancer,Bronchial Tumors,rag,oncology_expert,12,1.000000,0.833333,0.551969,0.953035,1.000000,0.833333,,0.909091,,10,0,0,2
cancer,Bronchial Tumors,rag,patient_education,12,1.000000,0.750000,0.467695,0.911058,1.000000,0.750000,,0.857143,,9,0,0,3
cancer,Bronchial Tumors,non_rag,basic,12,1.000000,0.250000,0.088942,0.532305,1.000000,0.250000,,0.400000,,3,0,0,9
cancer,Bronchial Tumors,non_rag,oncology_expert,12,1.000000,0.500000,0.253782,0.746218,1.000000,0.500000,,0.666667,,6,0,0,6
cancer,Bronchial Tumors,non_rag,patient_education,12,1.000000,0.416667,0.193260,0.680489,1.000000,0.416667,,0.588235,,5,0,0,7
cancer,Colorectal cancer,rag,basic,11,0.909091,0.545455,0.280092,0.787287,0.857143,0.600000,0.000000,0.705882,0.300000,6,0,1,4
cancer,Colorectal cancer,rag,oncology_expert,11,0.909091,0.545455,0.280092,0.787287,0.857143,0.600000,0.000000,0.705882,0.300000,6,0,1,4
cancer,Colorectal cancer,rag,patient_education,11,0.909091,0.636364,0.353801,0.848335,0.875000,0.700000,0.000000,0.777778,0.350000,7,0,1,3
cancer,Colorectal cancer,non_rag,basic,11,0.909091,0.363636,0.151665,0.646199,0.800000,0.400000,0.000000,0.533333,0.200000,4,0,1,6
cancer,Colorectal cancer,non_rag,oncology_expert,11,0.909091,0.363636,0.151665,0.646199,0.800000,0.400000,0.000000,0.533333,0.200000,4,0,1,6
cancer,Colorectal cancer,non_rag,patient_education,11,0.909091,0.272727,0.097461,0.565645,0.750000,0.300000,0.000000,0.428571,0.150000,3,0,1,7
cancer,Ewing Sarcoma,rag,basic,11,1.000000,0.818182,0.523019,0.948632,1.000000,0.818182,,0.900000,,9,0,0,2
cancer,Ewing Sarcoma,rag,oncology_expert,11,1.000000,0.818182,0.523019,0.948632,1.000000,0.818182,,0.900000,,9,0,0,2
cancer,Ewing Sarcoma,rag,patient_education,11,1.000000,0.818182,0.523019,0.948632,1.000000,0.818182,,0.900000,,9,0,0,2
cancer,Ewing Sarcoma,non_rag,basic,11,1.000000,0.818182,0.523019,0.948632,1.000000,0.818182,,0.900000,,9,0,0,2
cancer,Ewing Sarcoma,non_rag,oncology_expert,11,1.000000,0.818182,0.523019,0.948632,1.000000,0.818182,,0.900000,,9,0,0,2
cancer,Ewing Sarcoma,non_rag,patient_education,11,1.000000,0.818182,0.523019,0.948632,1.000000,0.818182,,0.900000,,9,0,0,2
cancer,Lung cancer,rag,basic,11,1.000000,0.636364,0.353801,0.848335,1.000000,0.636364,,0.777778,,7,0,0,4
cancer,Lung cancer,rag,oncology_expert,11,1.000000,0.818182,0.523019,0.948632,1.000000,0.818182,,0.900000,,9,0,0,2
cancer,Lung cancer,rag,patient_education,11,1.000000,0.818182,0.523019,0.948632,1.000000,0.818182,,0.900000,,9,0,0,2
cancer,Lung cancer,non_rag,basic,11,1.000000,0.545455,0.280092,0.787287,1.000000,0.545455,,0.705882,,6,0,0,5
cancer,Lung cancer,non_rag,oncology_expert,11,1.000000,0.636364,0.353801,0.848335,1.000000,0.636364,,0.777778,,7,0,0,4
cancer,Lung cancer,non_rag,patient_education,11,1.000000,0.545455,0.280092,0.787287,1.000000,0.545455,,0.705882,,6,0,0,5
cancer,Mycosis Fungoides (Lymphoma),rag,basic,11,1.000000,0.727273,0.434355,0.902539,1.000000,0.727273,,0.842105,,8,0,0,3
cancer,Mycosis Fungoides (Lymphoma),rag,oncology_expert,11,1.000000,0.727273,0.434355,0.902539,1.000000,0.727273,,0.842105,,8,0,0,3
cancer,Mycosis Fungoides (Lymphoma),rag,patient_education,11,1.000000,0.727273,0.434355,0.902539,1.000000,0.727273,,0.842105,,8,0,0,3
cancer,Mycosis Fungoides (Lymphoma),non_rag,basic,11,1.000000,0.545455,0.280092,0.787287,1.000000,0.545455,,0.705882,,6,0,0,5
cancer,Mycosis Fungoides (Lymphoma),non_rag,oncology_expert,11,1.000000,0.545455,0.280092,0.787287,1.000000,0.545455,,0.705882,,6,0,0,5
cancer,Mycosis Fungoides (Lymphoma),non_rag,patient_education,11,1.000000,0.545455,0.280092,0.787287,1.000000,0.545455,,0.705882,,6,0,0,5
cancer,Osteosarcoma,rag,basic,11,0.727273,0.636364,0.353801,0.848335,0.750000,0.750000,0.333333,0.750000,0.541667,6,1,2,2
cancer,Osteosarcoma,rag,oncology_expert,11,0.727273,0.636364,0.353801,0.848335,0.750000,0.750000,0.333333,0.750000,0.541667,6,1,2,2
cancer,Osteosarcoma,rag,patient_education,11,0.727273,0.636364,0.353801,0.848335,0.750000,0.750000,0.333333,0.750000,0.541667,6,1,2,2
cancer,Osteosarcoma,non_rag,basic,11,0.727273,0.636364,0.353801,0.848335,0.833333,0.625000,0.666667,0.714286,0.645833,5,2,1,3
cancer,Osteosarcoma,non_rag,oncology_expert,11,0.727273,0.636364,0.353801,0.848335,0.833333,0.625000,0.666667,0.714286,0.645833,5,2,1,3
cancer,Osteosarcoma,non_rag,patient_education,11,0.727273,0.636364,0.353801,0.848335,0.833333,0.625000,0.666667,0.714286,0.645833,5,2,1,3
cancer,Pituitary Tumor,rag,basic,11,0.545455,0.454545,0.212713,0.719908,0.500000,0.666667,0.200000,0.571429,0.433333,4,1,4,2
cancer,Pituitary Tumor,rag,oncology_expert,11,0.545455,0.454545,0.212713,0.719908,0.500000,0.666667,0.200000,0.571429,0.433333,4,1,4,2
cancer,Pituitary Tumor,rag,patient_education,11,0.545455,0.454545,0.212713,0.719908,0.500000,0.666667,0.200000,0.571429,0.433333,4,1,4,2
cancer,Pituitary Tumor,non_rag,basic,11,0.545455,0.454545,0.212713,0.719908,0.500000,0.500000,0.400000,0.500000,0.450000,3,2,3,3
cancer,Pituitary Tumor,non_rag,oncology_expert,11,0.545455,0.454545,0.212713,0.719908,0.500000,0.500000,0.400000,0.500000,0.450000,3,2,3,3
cancer,Pituitary Tumor,non_rag,patient_education,11,0.545455,0.454545,0.212713,0.719908,0.500000,0.500000,0.400000,0.500000,0.450000,3,2,3,3
cancer,Rectal cancer,rag,basic,11,0.909091,0.636364,0.353801,0.848335,1.000000,0.600000,1.000000,0.750000,0.800000,6,1,0,4
cancer,Rectal cancer,rag,oncology_expert,11,0.909091,0.636364,0.353801,0.848335,1.000000,0.600000,1.000000,0.750000,0.800000,6,1,0,4
cancer,Rectal cancer,rag,patient_education,11,0.909091,0.636364,0.353801,0.848335,1.000000,0.600000,1.000000,0.750000,0.800000,6,1,0,4
cancer,Rectal cancer,non_rag,basic,11,0.909091,0.454545,0.212713,0.719908,1.000000,0.400000,1.000000,0.571429,0.700000,4,1,0,6
